branch_name,branch_id,node
acerifoliu,0,acerifoliu
acutifoliu,1,acutifoliu
adenophoru,2,adenophoru
amplificat,3,amplificat
amplifoliu,4,amplifoliu
anabaptist,5,anabaptist
anamensis,6,anamensis
atrocyaneu,7,atrocyaneu
australe,8,australe
awabuki,9,awabuki
ayavacense,10,ayavacense
beccarii,11,beccarii
betulifoli,12,betulifoli
bitchiuens,13,bitchiuens
blandum,14,blandum
brachyandr,15,brachyandr
brachybotr,16,brachybotr
bracteatum,17,bracteatum
brevipes,18,brevipes
brevitubum,19,brevitubum
buddleifol,20,buddleifol
burejaetic,21,burejaetic
calvum,22,calvum
carlesii,24,carlesii
cassinoide,26,cassinoide
chingii,27,chingii
chinshanen,28,chinshanen
ciliatum,30,ciliatum
cinnamomif,31,cinnamomif
clemensiae,33,clemensiae
colebrooke,34,colebrooke
congestum,35,congestum
coriaceum,37,coriaceum
corylifoli,38,corylifoli
cotinifoli,40,cotinifoli
cylindricu,41,cylindricu
davidii,42,davidii
dentatum,43,dentatum
dilatatum,44,dilatatum
discolor,46,discolor
disjunctum,47,disjunctum
divaricatu,48,divaricatu
edule,49,edule
elatum,50,elatum
ellipticum,51,ellipticum
erosum,53,erosum
erubescens,55,erubescens
farreri,56,farreri
flavescens,57,flavescens
foetens,58,foetens
foetidum,59,foetidum
fordiae,60,fordiae
formosanum,61,formosanum
furcatum,63,furcatum
glaberrimu,64,glaberrimu
glabratum,65,glabratum
glomeratum,66,glomeratum
grandiflor,67,grandiflor
hallii,70,hallii
hanceanum,71,hanceanum
hebanthum,72,hebanthum
henryi,75,henryi
hispidulum,77,hispidulum
hupehense,78,hupehense
ichangense,80,ichangense
inopinatum,83,inopinatum
integrifol,84,integrifol
jamesonii,85,jamesonii
japonicum,86,japonicum
jucundum,87,jucundum
kansuense,88,kansuense
lancifoliu,89,lancifoliu
lantana,91,lantana
lantanoide,92,lantanoide
lasiophyll,93,lasiophyll
lautum,95,lautum
leiocarpum,97,leiocarpum
lentago,98,lentago
lepidotulu,99,lepidotulu
lobophyllu,100,lobophyllu
loeseneri,101,loeseneri
lutescens,102,lutescens
luzonicum,103,luzonicum
macrocepha,104,macrocepha
maculatum,105,maculatum
melanocarp,108,melanocarp
microcarpu,111,microcarpu
microphyll,112,microphyll
molle,115,molle
mongolicum,116,mongolicum
mullaha,118,mullaha
nervosum,121,nervosum
nudum,122,nudum
obovatum,124,obovatum
obtectum,126,obtectum
obtusatum,127,obtusatum
odoratissi,128,odoratissi
oliganthum,130,oliganthum
opulus,134,opulus
orientale,135,orientale
parvifoliu,138,parvifoliu
phlebotric,141,phlebotric
pichinchen,142,pichinchen
plicatum,144,plicatum
propinquum,147,propinquum
prunifoliu,150,prunifoliu
punctatum,151,punctatum
pyramidatu,153,pyramidatu
rafinesqui,157,rafinesqui
recognitum,161,recognitum
rhytidophy,163,rhytidophy
rufidulum,165,rufidulum
rugosum,171,rugosum
sambucinum,172,sambucinum
sargentii,175,sargentii
scabrellum,177,scabrellum
schensianu,179,schensianu
seemenii,180,seemenii
sempervire,181,sempervire
setigerum,184,setigerum
sieboldii,187,sieboldii
stellato-t,189,stellato-t
stenocalyx,191,stenocalyx
stipitatum,195,stipitatum
subalpinum,198,subalpinum
subsessile,199,subsessile
sulcatum,201,sulcatum
suspensum,203,suspensum
sympodiale,204,sympodiale
taitoense,208,taitoense
taiwanianu,211,taiwanianu
tashiroi,212,tashiroi
ternatum,216,ternatum
tinoides,218,tinoides
tinus,219,tinus
toronis,221,toronis
treleasei,224,treleasei
trilobum,227,trilobum
triphyllum,230,triphyllum
undulatum,233,undulatum
urceolatum,241,urceolatum
utile,244,utile
veitchii,248,veitchii
venustum,255,venustum
vernicosum,258,vernicosum
villosum,264,villosum
wrightii,272,wrightii
yunnanense,283,yunnanense
Root,294,Root
Node100|25,25,273
Node101|243,243,291
Node102|242,242,295
Node103|207,207,292
Node104|206,206,293
Node105|205,205,294
Node106|226,226,235
Node107|149,149,236
Node108|148,148,237
Node109|32,32,238
Node10|280,280,191
Node110|23,23,239
Node111|225,225,240
Node112|220,220,241
Node113|229,229,232
Node114|228,228,233
Node115|176,176,234
Node116|263,263,222
Node117|262,262,223
Node118|261,261,224
Node119|260,260,225
Node11|281,281,151
Node120|259,259,226
Node121|217,217,227
Node122|174,174,228
Node123|173,173,229
Node124|74,74,230
Node125|73,73,231
Node126|137,137,220
Node127|136,136,221
Node128|120,120,215
Node129|119,119,216
Node12|271,271,152
Node130|110,110,217
Node131|79,79,218
Node132|109,109,219
Node133|90,90,214
Node134|273,273,198
Node135|140,140,199
Node136|82,82,203
Node137|81,81,204
Node138|139,139,200
Node139|45,45,201
Node13|270,270,153
Node140|39,39,202
Node141|186,186,206
Node142|185,185,210
Node143|183,183,207
Node144|54,54,209
Node145|182,182,208
Node146|62,62,212
Node14|269,269,154
Node15|268,268,155
Node16|267,267,156
Node17|266,266,173
Node18|96,96,176
Node19|265,265,174
Node1|213,213,213
Node20|190,190,175
Node21|240,240,157
Node22|239,239,158
Node23|238,238,159
Node24|237,237,160
Node25|236,236,161
Node26|235,235,162
Node27|234,234,164
Node28|200,200,163
Node29|94,94,165
Node2|214,214,211
Node30|143,143,166
Node31|232,232,167
Node32|223,223,171
Node33|222,222,172
Node34|231,231,168
Node35|197,197,169
Node36|196,196,170
Node37|257,257,177
Node38|114,114,180
Node39|113,113,181
Node3|215,215,205
Node40|256,256,178
Node41|202,202,179
Node42|194,194,182
Node43|193,193,183
Node44|192,192,184
Node45|178,178,185
Node46|162,162,186
Node47|160,160,187
Node48|52,52,190
Node49|159,159,188
Node4|274,274,197
Node50|158,158,189
Node51|282,282,150
Node52|293,293,242
Node53|292,292,243
Node54|291,291,244
Node55|290,290,245
Node56|289,289,246
Node57|156,156,262
Node58|146,146,263
Node59|145,145,264
Node5|275,275,196
Node60|155,155,265
Node61|154,154,266
Node62|288,288,247
Node63|287,287,248
Node64|286,286,249
Node65|285,285,250
Node66|133,133,251
Node67|76,76,254
Node68|132,132,252
Node69|131,131,253
Node6|276,276,195
Node70|284,284,255
Node71|210,210,256
Node72|69,69,257
Node73|68,68,258
Node74|209,209,259
Node75|188,188,260
Node76|129,129,261
Node77|254,254,267
Node78|170,170,283
Node79|169,169,284
Node7|277,277,194
Node80|123,123,289
Node81|168,168,285
Node82|167,167,286
Node83|166,166,288
Node84|125,125,287
Node85|152,152,290
Node86|253,253,268
Node87|252,252,269
Node88|251,251,275
Node89|117,117,280
Node8|278,278,193
Node90|107,107,281
Node91|106,106,282
Node92|250,250,276
Node93|164,164,277
Node94|29,29,278
Node95|249,249,279
Node96|247,247,270
Node97|246,246,271
Node98|245,245,274
Node99|36,36,272
Node9|279,279,192
