Species,Range
acerifolium,N America
acutifolium,C America
adenophorum,E Asia
amplificatum,SE Asia
amplifolium,E Asia
anabaptista,S America
anamensis,SE Asia
anamensis,E Asia
atrocyaneum,E Asia
australe,C America
awabuki,E Asia
ayavacense,S America
beccarii,SE Asia
betulifolium,E Asia
bitchiuense,E Asia
blandum,C America
brachyandrum,E Asia
brachybotryum,E Asia
bracteatum,N America
brevipes,E Asia
brevitubum,E Asia
buddleifolium,E Asia
burejaeticum,E Asia
calvum,E Asia
carlesii,E Asia
cassinoides,N America
caudatum,C America
chingii,E Asia
chinshanense,E Asia
chunii,E Asia
ciliatum,C America
cinnamomifolium,E Asia
clemensiae,SE Asia
colebrookeanum,SE Asia
congestum,E Asia
coriaceum,SE Asia
corylifolium,E Asia
corymbiflorum,E Asia
costaricanum,C America
cotinifolium,E Asia
cylindricum,E Asia
dalzielii,E Asia
davidii,E Asia
dentatum,N America
dilatatum,E Asia
discolor,C America
disjunctum,C America
divaricatum,S America
edule,N America
elatum,C America
ellipticum,N America
erosum,E Asia
erubescens,E Asia
farreri,E Asia
flavescens,E Asia
foetens,E Asia
foetidum,E Asia
fordiae,E Asia
formosanum,E Asia
furcatum,E Asia
garrettii,SE Asia
glaberrimum,SE Asia
glabratum,S America
glomeratum,E Asia
grandiflorum,E Asia
hainanense,E Asia
hallii,S America
hanceanum,E Asia
hartwegii,C America
hebanthum,SE Asia
henryi,E Asia
hispidulum,SE Asia
hondurense,C America
hupehense,E Asia
ichangense,E Asia
inopinatum,SE Asia
integrifolium,E Asia
jamesonii,S America
japonicum,E Asia
jucundum,C America
junghunii,SE Asia
kansuense,E Asia
koreanum,E Asia
lancifolium,E Asia
lantana,Europe
lantanoides,N America
lasiophyllum,S America
laterale,E Asia
lautum,C America
leiocarpum,SE Asia
lentago,N America
lepidotulum,SE Asia
lepidotulum,E Asia
lobophyllum,E Asia
loeseneri,C America
longipedunculatum,E Asia
longiradiatum,E Asia
lutescens,SE Asia
luzonicum,E Asia
macrocephalum,E Asia
maculatum,Europe
melanocarpum,E Asia
microcarpum,C America
microphyllum,C America
molle,N America
mongolicum,E Asia
mullaha,E Asia
nervosum,E Asia
nudum,N America
obovatum,N America
obtectum,S America
obtusatum,C America
odoratissimum,SE Asia
odoratissimum,E Asia
oliganthum,E Asia
omeiense,E Asia
opulus,Europe
orientale,Europe
parvifolium,E Asia
phlebotrichum,E Asia
pichinchense,S America
plicatum,E Asia
propinquum,E Asia
prunifolium,N America
punctatum,SE Asia
pyramidatum,E Asia
rafinesquianum,N America
recognitum,N America
rhytidophyllum,E Asia
rigidum,Europe
rufidulum,N America
sambucinum,SE Asia
sargentii,E Asia
scabrellum,N America
schensianum,E Asia
seemenii,S America
sempervirens,E Asia
setigerum,E Asia
shweliense,E Asia
sieboldii,E Asia
squamulosum,E Asia
stellato_tomentosum,C America
stenocalyx,C America
stipitatum,S America
subalpinum,E Asia
subsessile,S America
sulcatum,C America
suspensum,E Asia
sympodiale,E Asia
taitoense,E Asia
taiwanianum,E Asia
tashiroi,E Asia
tengyuehense,E Asia
ternatum,E Asia
tinoides,S America
tinus,Europe
toronis,S America
treleasei,Europe
trilobum,N America
triphyllum,S America
triplinerve,E Asia
undulatum,S America
urceolatum,E Asia
utile,E Asia
veitchii,E Asia
venustum,C America
vernicosum,SE Asia
villosum,C America
wardii,E Asia
wrightii,E Asia
yunnanense,E Asia
